dimension, tiempo, cpu
10, 0.000, 0.000
110, 0.101, 110.100
210, 0.101, 108.100
310, 0.102, 110.200
410, 0.105, 109.000
510, 0.103, 109.900
610, 0.103, 116.800
710, 0.101, 95.000
810, 0.202, 134.300
910, 0.101, 105.200
1010, 0.101, 109.800
1110, 0.102, 109.300
1210, 0.207, 120.000
1310, 0.211, 117.400
1410, 0.203, 110.300
1510, 0.312, 257.200
1610, 0.309, 282.200
1710, 0.407, 220.700
1810, 0.305, 278.400
1910, 0.409, 273.200
2010, 0.416, 270.900
2110, 0.508, 299.400
2210, 1.661, 381.800
2310, 1.543, 393.800
2410, 1.452, 390.800
2510, 1.438, 396.400
2610, 1.349, 396.200
2710, 1.327, 403.600
2810, 1.964, 402.600
2910, 1.963, 404.800
3010, 2.065, 402.600
3110, 2.155, 403.000
3210, 2.068, 398.900
3310, 2.169, 401.900
3410, 2.165, 397.700
3510, 2.268, 404.600
3610, 2.268, 404.900
3710, 2.365, 400.100
3810, 2.272, 402.400
3910, 2.565, 393.200
4010, 4.958, 402.100
4110, 5.553, 408.500
4210, 5.986, 411.300
4310, 6.185, 397.800
4410, 6.505, 412.800
4510, 6.698, 393.800
4610, 6.906, 406.800
4710, 6.991, 399.100
4810, 7.019, 401.600
4910, 7.133, 404.800
