dimension, tiempo, cpu
10, 0.103, 103.000
110, 0.101, 106.200
210, 0.304, 230.400
310, 0.308, 257.800
410, 0.306, 268.200
510, 0.306, 376.100
610, 0.310, 370.800
710, 0.511, 273.600
810, 0.402, 322.600
910, 0.517, 322.700
1010, 0.405, 358.900
1110, 0.507, 342.200
1210, 0.509, 383.700
1310, 0.609, 354.000
1410, 0.605, 350.200
1510, 0.617, 353.000
1610, 0.719, 350.700
1710, 0.706, 338.000
1810, 0.920, 305.600
1910, 0.906, 372.700
2010, 1.017, 359.700
2110, 1.946, 393.300
2210, 1.933, 393.800
2310, 1.950, 393.300
2410, 2.035, 399.400
2510, 1.859, 391.400
2610, 2.035, 391.200
2710, 1.835, 389.900
2810, 2.133, 387.400
2910, 2.240, 398.400
3010, 2.137, 392.500
3110, 2.856, 403.200
3210, 3.073, 396.700
3310, 3.067, 408.200
3410, 3.378, 412.600
3510, 3.664, 391.600
3610, 3.676, 408.800
3710, 3.798, 404.900
3810, 4.064, 402.500
3910, 4.296, 399.100
4010, 4.276, 397.000
4110, 7.166, 413.400
4210, 7.593, 405.500
4310, 7.698, 402.100
4410, 8.203, 406.300
4510, 8.602, 400.900
4610, 9.143, 404.400
4710, 9.307, 409.300
4810, 9.847, 398.600
4910, 10.479, 412.300
